Vehicle_Number,Phone_Number,Starting_Location,Destination,Frequent_Places,cycle,ambient_temperature,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time
2102,8211613097,45,4,45,1,24,1855004,3673116,-2008403,29732867,19990,2764,893219
812,8325857796,2,27,25,1,24,1855004,3671041,-2008565,29754738,19988,2763,902578
1907,9955411269,15,32,18,1,24,1855004,3669295,-2009166,29788139,19988,2760,911953
8741,7397616004,38,36,10,1,24,1855004,3667368,-2009324,29804917,19990,2759,921328
3750,8671496643,21,42,43,1,24,1855004,3665349,-2009306,29834389,19990,2757,930813
8569,8898233185,13,13,7,1,24,1855004,3663449,-2008769,29863251,19990,2754,940188
1409,7102814969,23,46,23,1,24,1855004,3661480,-2008750,29880557,19990,2753,949578
7140,9069192997,48,47,48,1,24,1855004,3659572,-2007145,29895977,19990,2751,958953
7091,9677777768,23,11,16,1,24,1855004,3657625,-2009998,29924633,19990,2749,968313
2081,88638752110,21,42,33,1,24,1855004,3655757,-2010467,29941210,19988,2747,977703
1177,8269388621,4,45,35,1,24,1855004,3653999,-2008583,29968572,19988,2745,987063
3086,8705098274,31,8,10,1,24,1855004,3651979,-2010978,30005100,19990,2743,996391
4442,9882023576,33,33,19,1,24,1855004,3650078,-2008534,30024061,19988,2741,1005797
6317,8686345899,31,36,31,1,24,1855004,3648215,-2010036,30034662,19990,2740,1015156
4621,8972679424,31,10,38,1,24,1855004,3646509,-2009962,30064584,19990,2738,1024516
1953,7089363919,11,0,46,1,24,1855004,3644613,-2011121,30097067,19990,2736,1033891
47,7798999279,40,45,4,1,24,1855004,3642608,-2008365,30133170,19990,2735,1043266
8228,7461884343,33,21,43,1,24,1855004,3640871,-2009410,30152571,19990,2733,1052641
358,85249472710,10,36,8,1,24,1855004,3638993,-2009770,30180267,19988,2731,1062031
3655,7253017993,10,38,10,1,24,1855004,3637067,-2009142,30214348,19988,2729,1071375
696,8191964664,25,27,14,1,24,1855004,3635442,-2010294,30246402,19990,2727,1080781
7526,7445797926,34,41,26,1,24,1855004,3633526,-2007970,30265962,19990,2725,1090266
1254,70160493710,0,46,16,1,24,1855004,3631700,-2010204,30293174,19990,2723,1099672
941,7544692693,13,20,20,1,24,1855004,3629928,-2011212,30315944,19990,2722,1109156
3900,8688485766,33,33,33,1,24,1855004,3628131,-2008685,30352382,19988,2720,1118516
4199,9155979977,17,18,17,1,24,1855004,3626152,-2008723,30369397,19988,2719,1127906
6946,8391110779,13,20,7,1,24,1855004,3624365,-2009128,30401857,19990,2717,1137328
8333,9261090255,10,38,31,1,24,1855004,3622762,-2010652,30423229,19988,2715,1146735
4859,8678171948,49,17,15,1,24,1855004,3620910,-2008350,30452934,19988,2713,1156110
2780,7690573729,7,9,20,1,24,1855004,3619174,-2006956,30482682,19990,2711,1165578
5340,9106711436,23,23,11,1,24,1855004,3617432,-2006321,30512559,19990,2709,1174985
1357,7593119747,33,21,21,1,24,1855004,3615426,-2008177,30534748,19990,2708,1184485
6793,8866115485,6,37,6,1,24,1855004,3613984,-2007921,30557563,19990,2706,1193875
2343,9943716671,20,20,13,1,24,1855004,3612060,-2009721,30586779,19990,2705,1203281
473,7880841135,42,42,43,1,24,1855004,3610323,-2009566,30623028,19990,2703,1212672
1953,8719877334,9,13,39,1,24,1855004,3608603,-2009487,30643384,19990,2701,1222078
7981,7868025528,30,30,22,1,24,1855004,3606930,-2010439,30686726,19990,2699,1231516
7427,7135722671,26,34,29,1,24,1855004,3605104,-2007674,30705970,19990,2697,1240906
9443,9114680606,39,20,7,1,24,1855004,3603440,-2007061,30733603,19990,2696,1250297
3840,9976986236,0,0,11,1,24,1855004,3601901,-2009724,30758457,19990,2694,1259672
1665,7117870677,4,40,40,1,24,1855004,3599944,-2006223,30775989,19990,2693,1269063
4407,9106153542,42,21,19,1,24,1855004,3597980,-2009543,30812058,19990,2691,1278406
4401,8674350381,6,6,44,1,24,1855004,3596586,-2010628,30842411,19988,2689,1287781
8169,8245531275,33,33,33,1,24,1855004,3594792,-2008253,30866167,19990,2687,1297188
235,9518256005,3,27,2,1,24,1855004,3593295,-2007065,30903957,19990,2686,1306641
4955,7341347572,20,39,7,1,24,1855004,3591387,-2010264,30937574,19990,2684,1316047
6913,9704698161,38,38,8,1,24,1855004,3589632,-2010241,30963622,19990,2683,1325438
6336,9180820671,2,2,27,1,24,1855004,3588072,-2009974,30985714,19990,2681,1334797
3388,7081617553,33,19,42,1,24,1855004,3586345,-2008904,31012518,19988,2679,1344235
5835,8675877964,38,36,36,1,24,1855004,3584817,-2008842,31037580,19990,2677,1353641
2524,8662365425,4,40,35,1,24,1855004,3583195,-2007230,31067774,19990,2676,1363016
6196,7635221168,30,30,12,1,24,1855004,3581482,-2008707,31086816,19990,2674,1372438
2413,80432915810,40,4,1,1,24,1855004,3579865,-2009601,31122821,19990,2673,1381860
880,7030226104,43,19,43,1,24,1855004,3578123,-2009200,31138027,19990,2671,1391250
238,7030677055,33,42,33,1,24,1855004,3576591,-2008948,31185321,19990,2669,1400703
4623,8373612183,44,37,24,1,24,1855004,3574987,-2006657,31208267,19988,2668,1410094
4221,9124174765,5,44,44,1,24,1855004,3573220,-2007839,31232338,19990,2666,1419469
8141,7583741144,40,45,4,1,24,1855004,3571814,-2007236,31269570,19990,2665,1428828
6319,8543799117,44,6,5,1,24,1855004,3570197,-2010080,31284968,19988,2663,1438219
3754,8417898419,10,36,31,1,24,1855004,3568499,-2010369,31314599,19990,2662,1447578
8241,8111454836,32,32,17,1,24,1855004,3567043,-2008730,31326946,19990,2660,1456938
7219,8993483187,38,31,38,1,24,1855004,3565272,-2007228,31357037,19988,2658,1466281
6046,9348888175,29,28,28,1,24,1855004,3563770,-2006197,31379719,19990,2657,1475641
115,7455161432,5,6,5,1,24,1855004,3562156,-2008969,31410262,19990,2656,1485063
9694,7305476572,31,10,38,1,24,1855004,3560729,-2007489,31432301,19990,2654,1494422
2692,7000446547,46,46,0,1,24,1855004,3558969,-2008160,31460503,19990,2652,1503797
4001,8263813716,4,4,1,1,24,1855004,3557468,-2010564,31487709,19990,2651,1513188
2374,8277015703,40,45,1,1,24,1855004,3555970,-2006419,31506175,19990,2649,1522641
2771,8017542367,41,34,28,1,24,1855004,3554518,-2009067,31535037,19990,2648,1532031
5673,7088231944,0,16,23,1,24,1855004,3553122,-2008942,31561320,19990,2646,1541344
5363,8988261339,31,10,38,1,24,1855004,3551418,-2007742,31584113,19990,2644,1550781
2355,8970393647,24,24,37,1,24,1855004,3550160,-2008247,31608768,19990,2643,1560188
6454,7915765719,3,25,25,1,24,1855004,3548440,-2008266,31621908,19990,2642,1569563
3746,8465542737,2,25,27,1,24,1855004,3547044,-2011245,31653027,19990,2640,1579016
1810,8731085952,47,48,22,1,24,1855004,3545724,-2009047,31671609,19990,2639,1588422
9317,7169556707,28,29,34,1,24,1855004,3544204,-2011064,31700171,19990,2638,1597828
824,9980886917,32,18,17,1,24,1855004,3542703,-2010952,31724914,19990,2636,1607235
5075,89053318410,38,10,31,1,24,1855004,3541266,-2010591,31748690,19990,2634,1616610
4965,9070483819,1,45,45,1,24,1855004,3539847,-2008942,31779330,19990,2633,1626016
4173,90452318510,6,44,6,1,24,1855004,3538386,-2007970,31800135,19990,2632,1635438
3351,7388436975,41,26,26,1,24,1855004,3537132,-2008224,31820824,19990,2630,1644844
590,8950366283,14,2,25,1,24,1855004,3535525,-2008270,31850941,19990,2629,1654235
2367,9646562328,14,3,27,1,24,1855004,3534341,-2010771,31872233,19990,2628,1663641
6830,74590384410,47,30,12,1,24,1855004,3532906,-2009520,31893085,19990,2626,1673078
7948,7826386582,5,44,6,1,24,1855004,3531716,-2008909,31912168,19990,2625,1682485
8397,9660780857,49,15,49,1,24,1855004,3530267,-2009533,31946116,19990,2623,1691844
6093,7433248791,46,23,11,1,24,1855004,3529115,-2009785,31969740,19990,2622,1701250
5293,96584384910,47,30,22,1,24,1855004,3527613,-2008056,31996611,19990,2621,1710656
680,7170465224,21,21,42,1,24,1855004,3526251,-2011033,32022397,19990,2620,1720016
6104,9615853606,28,29,34,1,24,1855004,3524796,-2010023,32033438,19990,2618,1729422
3379,7097776007,17,15,17,1,24,1855004,3523634,-2010879,32051369,19990,2617,1738875
9936,8963849385,49,49,15,1,24,1855004,3522232,-2009592,32074928,19988,2616,1748297
2753,7143643463,22,48,30,1,24,1855004,3520883,-2008796,32095909,19990,2614,1757656
758,7168970879,13,9,13,1,24,1855004,3519652,-2008381,32123416,19988,2613,1767016
3138,7609748276,28,26,34,1,24,1855004,3518442,-2010278,32146197,19990,2612,1776360
7351,9516630008,32,18,49,1,24,1855004,3517145,-2010141,32153082,19990,2611,1785781
9249,9659497444,35,45,35,1,24,1855004,3515976,-2008593,32179698,19990,2610,1795203
302,8971598739,2,3,14,1,24,1855004,3514601,-2007469,32202395,19990,2608,1804625
7956,8655628602,36,36,10,1,24,1855004,3513551,-2007992,32233570,19990,2607,1814016
4330,9274976251,27,3,25,1,24,1855004,3512325,-2007310,32255565,19990,2606,1823375
4226,8176580117,35,45,40,1,24,1855004,3511128,-2009906,32263097,19990,2604,1832750
187,9587731651,19,43,21,1,24,1855004,3509827,-2006888,32303057,19990,2604,1842156
7935,7239917098,11,11,0,1,24,1855004,3508797,-2008532,32323020,19990,2602,1851531
3791,8130842591,28,34,26,1,24,1855004,3507486,-2008994,32338058,19990,2601,1860922
5365,9914940528,29,26,29,1,24,1855004,3506432,-2012995,32369738,19990,2600,1870375
582,9343176242,19,33,33,1,24,1855004,3505228,-2006357,32390630,19988,2599,1879766
2972,9498967591,17,32,49,1,24,1855004,3504071,-2007363,32418064,19990,2598,1889172
45,8735446359,25,3,3,1,24,1855004,3503016,-2007744,32432310,19990,2596,1898594
3876,8943459846,1,1,35,1,24,1855004,3501889,-2007926,32440862,19990,2596,1908047
1094,8960816705,17,15,49,1,24,1855004,3500847,-2011101,32454300,19990,2594,1917438
103,8080290227,49,15,15,1,24,1855004,3499789,-2009376,32478938,19990,2593,1926797
96,9209813408,30,30,30,1,24,1855004,3498766,-2009514,32498496,19990,2592,1936141
7309,7378696667,36,8,8,1,24,1855004,3497603,-2008403,32513638,19990,2591,1945547
8706,9901796126,23,23,23,1,24,1855004,3496410,-2008889,32540444,19990,2590,1954922
3168,9431245993,37,37,44,1,24,1855004,3495314,-2010204,32571130,19990,2589,1964328
6888,7690696576,14,3,27,1,24,1855004,3494204,-2009257,32593160,19990,2588,1973875
7597,9041577014,28,29,26,1,24,1855004,3493026,-2009255,32614894,19990,2587,1983235
2754,89401197910,3,2,25,1,24,1855004,3492034,-2009999,32638658,19990,2586,1992735
4101,8122442672,44,5,24,1,24,1855004,3490872,-2008154,32650562,19990,2585,2002125
9241,9218035121,12,12,48,1,24,1855004,3490004,-2007630,32674627,19990,2584,2011531
1556,9494658759,20,20,9,1,24,1855004,3489110,-2007405,32701866,19990,2583,2020922
9896,7722462325,27,14,27,1,24,1855004,3487886,-2008607,32721526,19990,2582,2030406
5461,7386225242,17,15,49,1,24,1855004,3486994,-2008513,32736696,19990,2581,2039813
6675,9928154947,25,3,27,1,24,1855004,3485701,-2008305,32747837,19990,2580,2049188
7050,8063521123,15,49,49,1,24,1855004,3484724,-2008044,32776835,19990,2579,2058578
3178,9682568142,5,5,24,1,24,1855004,3483891,-2008116,32814534,19990,2578,2068031
5466,8645322967,18,18,18,1,24,1855004,3482701,-2008587,32830236,19990,2576,2077391
9262,7027875259,27,2,3,1,24,1855004,3481639,-2010140,32855167,19990,2576,2086750
2276,7101361251,3,25,3,1,24,1855004,3480683,-2007849,32867244,19990,2574,2096141
2493,8069994436,35,1,40,1,24,1855004,3479721,-2010041,32887683,19990,2574,2105531
5843,9758469183,6,44,6,1,24,1855004,3478818,-2010083,32919444,19990,2572,2114953
2465,8143815984,33,19,19,1,24,1855004,3477728,-2007386,32935814,19990,2572,2124391
7331,9394037344,19,43,21,1,24,1855004,3476871,-2006653,32958043,19990,2570,2133813
7389,9818878153,49,18,15,1,24,1855004,3475683,-2007743,32968029,19990,2570,2143219
7408,7822219201,21,33,21,1,24,1855004,3474715,-2010865,32996468,19990,2568,2152610
4991,9745438823,47,22,47,1,24,1855004,3473614,-2007000,33024640,19990,2568,2162063
1557,9851533774,28,26,34,1,24,1855004,3472685,-2008530,33058448,19990,2567,2171453
5319,7638198124,47,48,12,1,24,1855004,3471603,-2009203,33069707,19990,2566,2180860
2416,9355053309,5,5,24,1,24,1855004,3470508,-2007904,33085843,19990,2564,2190281
4284,9526876863,28,28,26,1,24,1855004,3469466,-2008473,33114763,19990,2564,2199735
6948,8238895109,46,16,11,1,24,1855004,3468454,-2009239,33140771,19990,2562,2209110
2734,8655513088,0,16,11,1,24,1855004,3467630,-2011618,33149084,19990,2562,2218500
5055,7662589867,28,29,26,1,24,1855004,3466430,-2009083,33179330,19990,2560,2227891
1449,9381999455,41,26,41,1,24,1855004,3465492,-2008263,33219235,19990,2560,2237266
2224,9921772884,28,28,41,1,24,1855004,3464532,-2007239,33235012,19990,2558,2246672
8291,85861394710,1,45,40,1,24,1855004,3463512,-2008747,33241286,19990,2558,2256094
4345,9186230055,38,36,38,1,24,1855004,3462366,-2009303,33288254,19990,2557,2265469
9184,72531670910,41,34,41,1,24,1855004,3461340,-2010713,33301905,19990,2556,2274844
3623,7933991118,38,38,31,1,24,1855004,3460206,-2009692,33327009,19990,2554,2284266
2401,9142648082,44,24,6,1,24,1855004,3459487,-2008134,33349861,19990,2554,2293641
3679,8694540716,43,33,33,1,24,1855004,3458370,-2009715,33375243,19990,2552,2303031
9320,7390660612,29,26,28,1,24,1855004,3457349,-2008180,33396265,19990,2552,2312391
2646,9921937358,19,33,43,1,24,1855004,3456339,-2010491,33416166,19990,2550,2321781
8598,7482993501,17,32,32,1,24,1855004,3455167,-2009164,33443141,19990,2550,2331125
4430,9285186363,5,37,37,1,24,1855004,3454093,-2010502,33481337,19990,2548,2340500
1020,9311524381,0,0,46,1,24,1855004,3453062,-2008530,33501139,19990,2547,2349891
8815,7217388606,9,13,39,1,24,1855004,3452043,-2008104,33532126,19990,2546,2359297
6060,9041517543,49,17,49,1,24,1855004,3450947,-2006315,33548565,19990,2546,2368703
9268,8508674512,33,43,43,1,24,1855004,3449852,-2008814,33572265,19990,2544,2378110
1947,74112969310,28,29,26,1,24,1855004,3448723,-2011090,33596468,19990,2543,2387500
7200,8707172494,10,8,10,1,24,1855004,3447967,-2009833,33621890,19990,2542,2396860
4068,7698797279,41,34,41,1,24,1855004,3446832,-2008734,33663980,19990,2541,2406250
8063,7664937925,15,18,15,1,24,1855004,3445559,-2008682,33677259,19990,2540,2415656
7307,8427510956,17,18,32,1,24,1855004,3444563,-2007217,33707295,19990,2539,2425063
9670,7318149782,20,39,13,1,24,1855004,3443482,-2009402,33746355,19990,2538,2434485
8767,9638266647,47,48,47,1,24,1855004,3442459,-2008347,33779523,19990,2536,2443860
5185,7205879539,25,27,3,1,24,1855004,3441146,-2007600,33803362,19990,2536,2453203
3174,8291936802,10,8,8,1,24,1855004,3440127,-2010951,33818322,19990,2534,2462563
7648,7105325124,11,23,23,1,24,1855004,3438913,-2009469,33832177,19990,2533,2472016
8583,9819692778,1,1,4,1,24,1855004,3437849,-2010441,33871367,19990,2532,2481453
712,7594617934,47,30,22,1,24,1855004,3436654,-2007271,33902156,19990,2531,2490891
6562,9847999697,17,32,15,1,24,1855004,3435558,-2010333,33943075,19990,2530,2500281
8193,9445111641,40,40,45,1,24,1855004,3434315,-2007726,33966585,19990,2529,2509625
7808,8215395774,45,45,4,1,24,1855004,3433143,-2008300,34001980,19990,2528,2519031
3781,9332538849,13,7,7,1,24,1855004,3431916,-2008453,34029996,19990,2526,2528453
4341,8437389018,19,21,21,1,24,1855004,3430823,-2009934,34065745,19990,2525,2537781
3318,8983373289,41,29,41,1,24,1855004,3429648,-2010559,34101049,19990,2524,2547172
2591,9333321144,13,9,9,1,24,1855004,3428465,-2010826,34120756,19990,2523,2556547
9734,8006242927,25,27,27,1,24,1855004,3427012,-2007942,34153846,19990,2522,2565985
3237,8328440189,12,48,22,1,24,1855004,3426139,-2003208,34192995,19990,2520,2575406
4731,7165736771,46,46,11,1,24,1855004,3424726,-2008802,34215999,19990,2519,2584781
9524,7958279618,20,9,39,1,24,1855004,3423451,-2010774,34245890,19990,2518,2594141
5473,9575088075,13,7,20,1,24,1855004,3422207,-2011631,34289592,19990,2516,2603531
1775,7266174315,25,27,27,1,24,1855004,3420833,-2008528,34320216,19988,2515,2612906
7187,9252588418,15,18,18,1,24,1855004,3419712,-2010147,34353230,19990,2514,2622266
397,8975040952,14,14,27,1,24,1855004,3418318,-2009539,34388254,19990,2513,2631672
875,9525373327,11,46,11,1,24,1855004,3416944,-2009423,34409080,19990,2512,2641125
7522,8577028386,39,39,13,1,24,1855004,3415381,-2008633,34447890,19990,2510,2650547
7498,7524090149,11,0,16,1,24,1855004,3414010,-2008738,34495137,19990,2509,2659891
8947,8713015125,11,16,46,1,24,1855004,3412845,-2007061,34529684,19990,2507,2669281
7896,7671410204,1,4,45,1,24,1855004,3411572,-2010324,34552814,19990,2506,2678672
7594,8866753964,13,39,39,1,24,1855004,3410045,-2012063,34594879,19990,2504,2688016
7498,8110655433,17,32,32,1,24,1855004,3408435,-2009102,34627168,19990,2503,2697360
3418,9835339912,2,14,25,1,24,1855004,3407192,-2009255,34668319,19990,2502,2706735
2901,9509853221,0,0,46,1,24,1855004,3405689,-2010953,34694723,19990,2500,2716110
1800,9571768933,25,2,2,1,24,1855004,3404031,-2009877,34733516,19990,2499,2725453
880,9610994704,5,24,37,1,24,1855004,3402414,-2010348,34758373,19990,2497,2734828
7629,7802260798,34,29,28,1,24,1855004,3401031,-2010643,34793503,19990,2496,2744188
1615,7182369884,28,26,26,1,24,1855004,3399585,-2009700,34827784,19990,2494,2753594
7668,7079191586,28,29,26,1,24,1855004,3397868,-2010115,34866823,19990,2492,2762969
5817,8600775665,3,14,14,1,24,1855004,3396104,-2008579,34915795,19990,2491,2772375
6975,9616172378,30,12,12,1,24,1855004,3394416,-2006676,34938794,19990,2489,2781688
8419,7367264717,6,44,5,1,24,1855004,3392722,-2010435,34968061,19990,2487,2791047
5577,9734688797,6,24,24,1,24,1855004,3390799,-2007739,34999400,19990,2486,2800406
5610,73497719510,46,0,23,1,24,1855004,3389216,-2007276,35047154,19990,2484,2809750
8940,8450822977,44,24,37,1,24,1855004,3387278,-2008588,35102174,19990,2482,2819156
3568,8521896086,12,48,12,1,24,1855004,3385407,-2010299,35117562,19990,2480,2828531
5681,7954311444,29,29,26,1,24,1855004,3383441,-2010515,35159403,19990,2478,2837891
204,70919169010,23,46,46,1,24,1855004,3381475,-2012137,35203070,19990,2476,2847297
8014,8851818891,24,5,24,1,24,1855004,3379393,-2007840,35226215,19990,2474,2856688
3362,7527534653,3,3,2,1,24,1855004,3377217,-2009607,35263705,19990,2472,2866078
9375,8007715546,19,33,43,1,24,1855004,3374932,-2006979,35316695,19990,2470,2875578
817,8996917223,37,5,24,1,24,1855004,3372757,-2009542,35354301,19990,2468,2884985
4950,9687316081,9,7,7,1,24,1855004,3370243,-2007025,35387610,19990,2465,2894360
9437,8002345151,7,13,9,1,24,1855004,3367766,-2008881,35420502,19990,2463,2903828
